datum	ellenfel	lott	kapott	tipus	helyszin	mpont	epont	mhelyezes	ehelyezes
1992.03.24	Great Britain	3	14	World Championship C1	Great Britain	1028	1266	28	24
1982.03.22	Yugoslavia	5	4	World Championship C	Spain	1413	1459	18	17
2010.04.17	South Korea	4	2	World Championship Division I	Slovenia	1771	1255	20	28
1977.02.23	East Germany	1	6	Budapest Tournament	Hungary	1477	2113	18	8
2019.04.21	Great Britain	1	3	 tournament	Great Britain	1784	1762	19	20
1977.03.10	Japan	2	5	World Championship B	Japan	1455	1765	18	12
1946.01.27	Austria	8	1		Hungary	1824	1851	10	9
1963.02.09	Austria	5	5		Austria	1639	1576	15	17
2014.04.13	Slovenia	0	4		Hungary	1759	2053	20	13
2005.02.11	Canada	0	7	Budapest Tournament	Hungary	1689	2519	21	1
2016.11.01	Canada	1	5		Hungary	1875	2714	17	1
1975.02.26	Denmark	8	4		Hungary	1479	1104	17	23
1965.03.04	Poland	5	9	World Championship B	Finland	1526	1931	17	8
2011.04.04	Croatia	7	1		Hungary	1790	1218	20	29
1985.02.27	Bulgaria	5	3	Minsk Tournament	the Soviet Union	1419	1087	20	22
1987.03.25	Japan	1	3	World Championship C	Denmark	1252	1515	21	18
1971.03.07	Denmark	2	0	World Championship C	the Netherlands	1533	1176	17	21
2013.04.07	Poland	4	2	 tournament	Hungary	1739	1671	20	23
1929.01.30	Belgium	1	1	European Championship	Hungary	1564	1810	14	10
1961.01.21	Romania	2	5		Hungary	1619	1690	15	12
2008.04.13	Estonia	5	3	World Championship Division I	Japan	1732	1442	21	26
2020.12.18	Poland	3	1	Euro Ice Hockey Challenge	Poland	1789	1694	19	22
2016.05.07	Slovakia	1	4	World Championship	Russia	1848	2231	18	7
1992.10.18	South Africa	18	2		South Africa	1055	885	31	33
1936.02.22	Yugoslavia	3	0		Germany	1804	1387	10	20
1978.12.29	Denmark	5	2	Pondus Cup	Denmark	1573	1404	14	19
1991.03.26	China	3	4	World Championship C	Denmark	1206	1411	22	20
1953.12.23	Poland	3	2	Budapest Tournament	Hungary	1746	1875	12	9
1980.01.17	Italy	4	6	Magyar Nemzet Cup	Hungary	1439	1578	18	15
1992.10.22	South Africa	13	2		South Africa	1086	854	29	34
2004.04.13	Belgium	6	4	World Championship Division I	Norway	1696	1144	21	30
1929.01.28	Italy	1	2	European Championship	Hungary	1553	1543	13	14
1982.02.06	Bulgaria	9	3	Magyar Nemzet Cup	Hungary	1419	1177	18	22
1967.02.23	Poland	1	3		Poland	1500	1870	17	9
1996.09.01	Estonia	7	4	Olympic Games qualifier	Latvia	1451	1672	24	20
1980.12.27	Denmark	3	5	Pondus Cup	Denmark	1442	1417	18	19
1981.02.13	Bulgaria	6	3	Centrum Cup	Hungary	1391	1184	20	22
2002.04.17	Norway	3	1	World Championship Division I	Hungary	1673	1771	22	20
2004.04.18	Netherlands	4	4	World Championship Division I	Norway	1669	1514	21	25
1985.03.26	Italy	1	6	World Championship B	Switzerland	1381	1867	20	11
1987.12.12	Denmark	2	7		Denmark	1277	1450	21	19
1934.01.22	Romania	3	1		Romania	1727	1500	11	18
1967.11.28	Yugoslavia	3	2	Ljubljana Tournament	Yugoslavia	1478	1618	17	14
2006.04.24	Great Britain	4	3	World Championship Division I	France	1695	1552	21	23
1976.03.13	Denmark	10	2	World Championship C	Poland	1479	1165	17	22
2003.12.19	Netherlands	5	4	Maribor Tournament	Slovenia	1656	1451	20	25
1979.03.19	Romania	4	8	World Championship B	Romania	1492	1801	18	10
1931.02.04	Great Britain	3	1	World Championship	Poland	1621	1737	13	11
1933.02.20	Latvia	3	0	World Championship	Czechoslovakia	1733	1617	11	14
1966.03.10	West Germany	0	1	World Championship B	Yugoslavia	1527	1963	17	8
1990.04.02	Romania	2	2	World Championship C	Hungary	1260	1329	22	21
1998.03.25	South Korea	6	0	World Championship C	Hungary	1447	1061	25	30
1960.12.21	Romania	4	9		Hungary	1625	1672	15	13
1972.03.11	Italy	6	6	World Championship C	Romania	1463	1543	18	15
1982.03.28	Japan	1	10	World Championship C	Spain	1424	1702	19	13
2018.04.11	Slovenia	3	2		Slovenia	1841	2031	18	15
1965.03.09	West Germany	4	4	World Championship B	Finland	1575	1893	15	10
1997.03.22	Estonia	5	5	World Championship C	Estonia	1466	1654	24	21
2007.04.18	Romania	5	3	World Championship Division I	Slovenia	1703	1314	21	27
1989.03.26	Netherlands	2	8	World Championship C	Australia	1286	1650	21	16
1982.03.10	France	7	3		Hungary	1463	1303	18	21
1991.12.08	Bulgaria	1	7	Sofia Tournament	Bulgaria	1168	1246	25	23
2017.04.03	Sweden	0	4		Hungary	1882	2414	18	4
2003.02.08	Latvia	2	3	Minsk Tournament	Belarus	1684	2140	22	10
2021.12.17	Poland	2	3	Euro Ice Hockey Challenge	Poland	1766	1724	20	21
1963.03.07	Belgium	25	1	World Championship C	Sweden	1648	1114	15	22
2004.02.03	Canada	4	5		Hungary	1647	2531	21	1
1936.02.12	Canada	0	15	Olympic Games & World Championship	Germany	1816	2546	10	1
1985.03.09	Norway	3	7	Pondus Cup	Denmark	1400	1839	20	12
1976.01.18	Romania	5	6		Romania	1456	1711	18	12
1999.04.03	Poland	1	4		Poland	1489	1652	24	21
1999.04.11	Slovenia	1	5	World Championship B	Denmark	1449	1693	25	20
2010.04.10	Austria	2	3	Budapest Tournament	Hungary	1752	2036	20	12
1940.02.04	Bohemia and Moravia	0	6	International Week of Winter Sports	Germany	1770	2116	13	5
2014.02.07	Poland	2	1	Euro Ice Hockey Challenge	Poland	1777	1724	19	22
2001.04.10	Croatia	8	1		Croatia	1495	1101	24	31
2019.05.02	Lithuania	4	1	World Championship Division IA	Kazakhstan	1750	1576	21	23
2003.04.20	Lithuania	4	0	World Championship Division I	Hungary	1626	1287	22	27
2000.03.20	Spain	7	2	World Championship C	China	1358	1028	26	32
1977.02.24	Yugoslavia	3	5	Budapest Tournament	Hungary	1463	1685	18	13
2003.04.21	Poland	1	3	World Championship Division I	Hungary	1600	1821	23	19
1975.03.10	France	5	5	World Championship C	Bulgaria	1463	1310	18	20
1940.02.02	Yugoslavia	10	0	International Week of Winter Sports	Germany	1750	1348	13	23
2016.11.03	Poland	2	1	Euro Ice Hockey Challenge	Hungary	1882	1761	17	20
1933.02.24	Poland	1	1	World Championship	Czechoslovakia	1718	1772	11	10
1982.03.19	Denmark	1	2	World Championship C	Spain	1432	1407	18	19
2018.04.22	Kazakhstan	0	3	World Championship Division IA	Hungary	1811	2072	18	14
1964.02.01	Austria	0	3	Olympic Games B & World Champ B	Austria	1595	1678	16	15
1993.02.07	Croatia	8	0		Hungary	1092	1053	31	32
1936.02.19	Sweden	0	1		Germany	1794	2009	10	6
1974.03.11	Switzerland	2	1	World Championship C	France	1548	1619	15	14
1987.03.22	Denmark	4	6	World Championship C	Denmark	1256	1452	21	19
1977.12.29	Austria	1	0		Hungary	1531	1450	15	18
2009.04.02	Finland	3	3		Hungary	1815	2476	18	3
1985.03.21	Switzerland	1	9	World Championship B	Switzerland	1393	1853	20	10
2020.12.17	Poland	1	2	Euro Ice Hockey Challenge	Poland	1767	1716	20	22
2019.12.13	France	2	5	Euro Ice Hockey Challenge	Hungary	1703	1961	21	15
2006.12.16	Slovenia	4	3	Bled Tournament	Slovenia	1692	1773	22	19
1971.03.02	France	4	8	World Championship C	the Netherlands	1513	1504	17	18
1981.03.12	China	1	3	World Championship C	China	1396	1323	18	21
2000.02.12	Denmark	3	6	Olympic Games qualifier	Denmark	1372	1797	26	18
1977.03.13	Netherlands	8	2	World Championship B	Japan	1548	1426	15	18
2014.02.06	Belarus	1	2	Euro Ice Hockey Challenge	Poland	1758	2085	20	12
1994.03.24	Slovakia	0	10	World Championship C	Slovakia	1198	2182	28	8
1989.03.19	Australia	9	2	World Championship C	Australia	1303	897	21	27
2007.04.04	Poland	1	2		Poland	1710	1705	21	22
1968.02.01	Switzerland	4	3		Switzerland	1453	1592	17	15
2017.11.11	Italy	5	2	Euro Ice Hockey Challenge	Hungary	1771	1651	20	22
2017.02.09	Japan	2	1	Euro Ice Hockey Challenge	South Korea	1886	1616	17	24
1976.03.11	Austria	3	6	World Championship C	Poland	1462	1602	17	15
2015.02.08	Ukraine	6	5	Euro Ice Hockey Challenge	Poland	1723	1755	22	21
2010.04.18	Poland	6	0	World Championship Division I	Slovenia	1799	1602	20	23
2015.04.08	Austria	4	2		Austria	1746	1982	22	16
1983.03.15	Netherlands	5	12	World Championship C	Hungary	1425	1657	19	15
1973.02.20	Romania	2	4		Hungary	1451	1720	18	11
2007.02.11	Poland	4	0	Euro Ice Hockey Challenge	Poland	1706	1689	21	22
2018.02.18	Poland	3	2	Euro Ice Hockey Challenge	Poland	1791	1735	18	20
2012.04.21	Great Britain	4	5	World Championship Division IA	Slovenia	1698	1707	22	21
1981.02.15	Romania	2	4	Centrum Cup	Hungary	1409	1799	19	11
1953.12.28	Romania	4	1	Budapest Tournament	Hungary	1752	1518	12	17
1982.11.17	Yugoslavia	3	6		Yugoslavia	1417	1549	19	17
1970.11.29	Austria	3	5		Austria	1525	1570	17	15
1977.11.19	East Germany	4	9		East Germany	1532	2146	15	7
1981.11.26	Yugoslavia	5	3		Yugoslavia	1431	1458	18	17
1965.03.12	Great Britain	1	5	World Championship B	Finland	1554	1527	16	17
2003.04.16	Romania	4	4	World Championship Division I	Hungary	1658	1380	22	25
1990.04.03	Bulgaria	3	5	World Championship C	Hungary	1212	1226	23	22
1980.03.13	France	8	3	Thayer Tutt Trophy	Yugoslavia	1457	1315	18	20
2004.09.04	Norway	2	2	Szekesfehervar Tournament	Hungary	1677	1905	21	17
1982.03.25	South Korea	18	2	World Championship C	Spain	1428	850	19	28
2004.09.03	Croatia	8	3	Szekesfehervar Tournament	Hungary	1671	1210	21	29
1980.03.16	China	6	2	Thayer Tutt Trophy	Yugoslavia	1443	1225	18	21
1972.03.06	Bulgaria	2	6	World Championship C	Romania	1468	1350	18	21
1980.12.13	Yugoslavia	6	3		Yugoslavia	1466	1526	18	16
2015.04.19	Japan	4	2	World Championship Division IA	Poland	1792	1769	19	20
1967.03.27	Norway	5	6	World Championship B	Austria	1483	1815	17	11
1985.03.22	Austria	0	2	World Championship B	Switzerland	1389	1857	20	10
1966.02.16	Yugoslavia	6	5		Yugoslavia	1565	1474	15	18
1989.01.27	France	2	5	Magyar Nemzet Cup	Hungary	1230	1671	21	14
2002.04.14	China	6	0	World Championship Division I	Hungary	1577	1211	23	28
2016.11.06	South Korea	2	3	Euro Ice Hockey Challenge	Hungary	1880	1730	17	21
1984.12.29	Bulgaria	2	1		Hungary	1398	1103	19	22
1938.02.13	Lithuania	10	1	World Championship	Czechoslovakia	1816	1412	11	20
2008.02.09	Netherlands	3	0	 tournament	the Netherlands	1731	1484	21	25
1980.02.01	Bulgaria	5	2	Pondus Cup	Denmark	1449	1221	18	22
1928.02.15	Great Britain	0	1	Olympic Games & World Championship	Switzerland	1575	1934	13	6
2016.05.14	Belarus	5	2	World Championship	Russia	1882	2102	17	10
1980.03.09	East Germany	1	12	Thayer Tutt Trophy	Yugoslavia	1434	2043	18	8
2000.11.11	Slovenia	5	3	Millennium Tournament	Hungary	1457	1539	24	23
2002.11.10	Great Britain	0	2	Szekesfehervar Tournament	Hungary	1649	1741	22	20
2018.04.04	Austria	4	3		Hungary	1803	1962	18	17
1980.02.02	Yugoslavia	3	2	Pondus Cup	Denmark	1468	1527	18	16
