datum	ellenfel	lott	kapott	tipus	helyszin	mpont	epont	mhelyezes	ehelyezes
1937.02.23	Great Britain	0	5	World Championship	Great Britain	1775	2219	11	3
1987.01.23	Bulgaria	7	3	Magyar Nemzet Cup	Hungary	1293	1246	21	22
1964.11.19	Italy	3	2	World Championship B qualifier	Italy	1527	1610	18	14
1940.02.06	Bohemia and Moravia	1	1	International Week of Winter Sports	Bohemia and Moravia	1783	2103	13	5
1937.01.10	Canada	0	1		Hungary	1804	2585	10	1
1985.01.07	Yugoslavia	6	5	Magyar Nemzet Cup	Hungary	1412	1452	19	17
1969.12.28	Denmark	2	0		Denmark	1494	1200	17	22
1975.03.01	Belgium	14	0	World Championship C	Bulgaria	1482	815	17	28
1985.12.28	Norway	3	2	Pondus Cup	Denmark	1383	1650	20	14
1937.02.12	Sweden	0	3		Sweden	1800	2013	10	5
2009.02.08	Ukraine	3	3	Olympic Games qualifier	Latvia	1806	1894	18	14
1978.12.28	Netherlands	4	4	Pondus Cup	Denmark	1552	1553	15	14
2009.04.22	Russia	1	5		Switzerland	1829	2717	20	1
1986.12.29	Romania	1	8	Pondus Cup	Denmark	1277	1424	21	19
2001.04.04	Slovenia	2	4		Slovenia	1483	1603	24	22
1974.03.09	China	2	2	World Championship C	France	1513	1320	16	20
1987.12.13	Denmark	0	8		Denmark	1270	1457	21	19
2010.04.21	Great Britain	2	0	World Championship Division I	Slovenia	1821	1621	20	22
1986.03.29	China	2	2	World Championship C	Spain	1237	1561	21	17
1975.03.04	Norway	0	5	World Championship C	Bulgaria	1457	1659	18	14
2019.04.20	Italy	6	1	 tournament	Great Britain	1801	1801	18	18
1983.02.15	France	6	3		France	1465	1316	19	21
1998.03.27	Lithuania	14	0	World Championship C	Hungary	1465	1208	25	27
1931.02.05	Romania	9	1	World Championship	Poland	1664	1528	13	16
1937.02.22	Switzerland	2	4	World Championship	Great Britain	1779	2057	11	4
1983.03.11	Spain	17	2	World Championship C	Hungary	1449	877	20	27
2010.11.14	Austria	1	3	Euro Ice Hockey Challenge	Hungary	1780	2085	20	13
2004.04.20	Canada	2	9		Hungary	1669	2525	21	1
2018.11.07	Kazakhstan	1	3	Euro Ice Hockey Challenge	Hungary	1777	2006	19	14
1969.12.30	Denmark	6	0		Denmark	1503	1191	16	22
1982.03.09	France	11	3		Hungary	1457	1309	18	21
2002.12.14	Belarus	4	9	Euro Ice Hockey Challenge	Ukraine	1644	2133	22	9
1970.02.19	France	2	4	World Championship C	Romania	1526	1366	16	19
1996.03.22	Ukraine	1	4	World Championship C	Slovenia	1272	1962	27	14
1984.03.24	Romania	2	7	Thayer Tutt Trophy	France	1427	1636	19	15
1991.04.03	Romania	1	6	World Championship C	Denmark	1164	1408	23	19
1971.02.18	Switzerland	5	2		Hungary	1546	1656	16	13
2018.04.18	Ukraine	4	4		Hungary	1837	1630	18	23
1980.01.15	France	7	5	Magyar Nemzet Cup	Hungary	1459	1294	18	20
1972.03.09	Netherlands	6	1	World Championship C	Romania	1457	1106	18	22
1992.03.22	Australia	1	8	World Championship C1	Great Britain	1045	830	28	32
2014.04.20	South Korea	7	4	World Championship Division IA	South Korea	1784	1517	19	23
1984.03.26	China	3	7	Thayer Tutt Trophy	France	1396	1469	19	18
1985.12.07	North Korea	4	5	Otechestven Front Cup	Bulgaria	1299	936	20	23
1929.01.24	Great Britain	1	0		Hungary	1590	1860	13	9
2005.04.09	Netherlands	0	2		Hungary	1665	1512	21	24
2016.05.13	United States	1	5	World Championship	Russia	1816	2419	19	5
1978.12.27	Yugoslavia	1	4	Pondus Cup	Denmark	1552	1496	15	17
1984.12.05	Bulgaria	2	5	Otechestven Front Cup	Bulgaria	1406	1105	19	22
1966.03.09	Norway	2	5	World Championship B	Yugoslavia	1531	1808	17	11
2021.11.13	Ukraine	2	1	Euro Ice Hockey Challenge	Hungary	1777	1386	19	26
2003.11.06	Slovakia	4	2	Budapest Tournament	Hungary	1664	2438	20	3
1999.11.13	Netherlands	5	6		the Netherlands	1396	1441	26	25
2021.04.17	Belarus	2	3	 tournament	Hungary	1768	2018	20	14
2009.04.24	Slovakia	3	4	World Championship	Switzerland	1825	2243	20	8
2007.03.30	Sweden	1	7		Hungary	1726	2581	21	2
1991.03.13	Italy	0	5		Italy	1192	1967	22	9
1964.02.08	Japan	2	6	Olympic Games B & World Champ B	Austria	1512	1728	18	13
2013.11.08	Poland	1	1	Euro Ice Hockey Challenge	Hungary	1780	1692	20	22
1991.04.01	Denmark	1	8	World Championship C	Denmark	1184	1475	22	18
2017.04.28	Kazakhstan	1	3	World Championship Division IA	Ukraine	1778	2038	20	13
2013.04.14	Great Britain	4	2	World Championship Division IA	Hungary	1780	1683	19	22
2000.02.10	Japan	1	7	Olympic Games qualifier	Denmark	1375	1687	26	20
1988.03.26	Denmark	4	2	Thayer Tutt Trophy	the Netherlands	1288	1351	21	20
1971.12.30	Bulgaria	3	6	Pondus Cup	Denmark	1523	1315	16	20
1934.02.06	Italy	0	0	World Championship	Italy	1755	1576	11	17
1995.01.28	Croatia	9	1	Szekesfehervar Tournament	Hungary	1206	985	28	33
1983.03.12	France	3	1	World Championship C	Hungary	1462	1287	19	21
2002.01.18	Croatia	8	4		Hungary	1580	1175	23	29
1973.03.09	Great Britain	9	0	World Championship C	the Netherlands	1508	1352	17	20
2016.04.16	Austria	3	1		Austria	1878	1863	17	18
1960.12.25	Bulgaria	7	1		Bulgaria	1637	1400	14	20
1990.12.14	Bulgaria	9	4	Sofia Tournament	Bulgaria	1171	1150	22	23
1985.02.25	Romania	4	3	Minsk Tournament	the Soviet Union	1414	1589	20	15
2018.04.28	Great Britain	2	2	World Championship Division IA	Hungary	1791	1772	19	21
1934.02.07	Switzerland	0	1	World Championship	Italy	1746	2034	11	4
1977.11.20	East Germany	1	10		East Germany	1531	2147	15	7
1974.03.17	Italy	4	4	World Championship C	France	1499	1516	17	16
1935.01.19	Netherlands	6	0	World Championship	Switzerland	1756	1381	11	21
2021.04.15	Austria	0	1	 tournament	Hungary	1778	1983	19	15
2006.04.27	France	3	3	World Championship Division I	France	1708	1753	21	19
1981.02.14	Yugoslavia	6	2	Centrum Cup	Hungary	1416	1474	19	17
1963.03.12	Denmark	10	3	World Championship C	Sweden	1613	1121	17	22
1983.12.28	Bulgaria	8	3	Pondus Cup	Denmark	1395	1093	20	22
1993.03.13	Kazakhstan	1	7	World Championship C	Slovenia	1122	2032	31	9
1996.08.30	Latvia	2	10	Olympic Games qualifier	Latvia	1399	2144	25	8
1986.03.27	Bulgaria	2	5	World Championship C	Spain	1218	1203	21	22
1986.03.23	North Korea	2	4	World Championship C	Spain	1257	920	21	24
1981.01.06	Romania	4	10		Romania	1386	1828	19	10
2017.04.18	Slovenia	3	5		Hungary	1870	2144	18	12
1970.11.28	Austria	5	6		Austria	1533	1562	17	15
1939.02.07	United States	0	3	World Championship	Switzerland	1816	2276	11	3
1972.12.27	Bulgaria	8	4	Pondus Cup	Denmark	1475	1344	18	21
1970.02.16	Austria	2	3	World Championship C	Romania	1542	1543	17	16
1997.03.16	Slovenia	4	5		Slovenia	1448	1680	24	20
2001.04.22	Lithuania	5	4	World Championship Division I	France	1569	1229	23	28
2003.12.20	Slovenia	2	4	Maribor Tournament	Slovenia	1647	1777	21	19
1984.12.07	Romania	3	14	Otechestven Front Cup	Bulgaria	1393	1641	19	15
2006.11.11	Lithuania	10	2	Budapest Tournament	Hungary	1699	1508	21	24
2017.02.11	Denmark	1	5	Euro Ice Hockey Challenge	South Korea	1885	2000	17	15
2008.02.08	Ukraine	2	6	 tournament	the Netherlands	1716	1908	21	14
2010.04.20	Croatia	8	0	World Championship Division I	Slovenia	1803	1221	20	29
1986.10.07	Yugoslavia	3	0		Yugoslavia	1251	1604	22	16
1977.03.11	Austria	7	4	World Championship B	Japan	1508	1557	16	15
1983.01.20	Denmark	8	5	Magyar Nemzet Cup	Hungary	1440	1412	19	20
2003.04.18	Kazakhstan	1	4	World Championship Division I	Hungary	1620	1793	23	19
2016.05.08	Canada	1	7	World Championship	Russia	1847	2697	18	1
1940.02.03	Germany	3	2	International Week of Winter Sports	Germany	1777	1997	13	7
2002.11.09	Slovenia	2	2	Szekesfehervar Tournament	Hungary	1671	1865	22	16
1964.02.06	Yugoslavia	2	4	Olympic Games B & World Champ B	Austria	1533	1599	17	16
1981.12.07	Bulgaria	4	2	Sofia Tournament	Bulgaria	1444	1205	18	22
1979.03.03	Italy	5	4		Italy	1546	1485	14	18
1970.02.07	Yugoslavia	6	4		Yugoslavia	1554	1682	15	13
1974.02.23	Romania	2	6		Romania	1524	1815	16	11
2009.05.01	Austria	0	6	World Championship	Switzerland	1786	1978	20	12
1998.11.08	Denmark	4	1	Dunaujvaros Tournament	Hungary	1497	1541	24	23
2012.04.08	Poland	4	1		Hungary	1663	1684	23	22
1972.12.28	Netherlands	7	3	Pondus Cup	Denmark	1480	1101	18	22
1964.01.28	Soviet Union	1	19	Olympic Games & World Champ qual	Austria	1642	2641	14	1
1991.03.28	Bulgaria	3	4	World Championship C	Denmark	1174	1140	22	23
2015.02.06	Romania	8	0	Euro Ice Hockey Challenge	Poland	1715	1244	22	29
2016.02.12	Estonia	7	1	Olympic Games qualifier	Hungary	1857	1299	18	28
2019.11.08	Italy	3	4	Euro Ice Hockey Challenge	Poland	1700	1796	22	19
1985.03.31	Japan	2	11	World Championship B	Switzerland	1337	1626	20	15
2002.04.15	Great Britain	4	1	World Championship Division I	Hungary	1633	1813	22	18
1965.03.11	Austria	5	3	World Championship B	Finland	1609	1557	15	16
2003.02.09	France	1	3	Minsk Tournament	Belarus	1675	1902	22	15
2002.08.31	Slovenia	1	3	Nottingham Tournament	Great Britain	1641	1859	22	16
1970.02.06	Yugoslavia	7	2		Yugoslavia	1533	1703	15	13
2016.04.20	Slovenia	0	3		Hungary	1868	2121	17	11
1927.01.26	Belgium	0	6	European Championship	Austria	1647	1775	12	10
2001.04.21	Netherlands	8	2	World Championship Division I	France	1562	1372	23	26
1983.12.27	France	3	8	Pondus Cup	Denmark	1387	1363	20	21
1967.03.23	Romania	2	5	World Championship B	Austria	1477	1936	16	9
2010.11.12	Japan	2	4	Euro Ice Hockey Challenge	Hungary	1771	1768	20	21
2015.11.05	Norway	0	4	Euro Ice Hockey Challenge	Norway	1857	2070	18	12
2020.02.08	Romania	3	2	Olympic Games qualifier	Great Britain	1723	1479	21	25
1938.02.15	Romania	3	1	World Championship	Czechoslovakia	1798	1489	11	19
2002.11.08	Ukraine	0	5	Szekesfehervar Tournament	Hungary	1667	2026	22	12
1940.02.07	Bohemia and Moravia	1	2	International Week of Winter Sports	Bohemia and Moravia	1781	2105	13	5
1989.03.18	North Korea	6	3	World Championship C	Australia	1287	996	21	24
1927.01.27	Germany	0	5	European Championship	Austria	1639	2053	12	4
2019.04.17	Slovenia	7	4		Hungary	1771	1922	20	17
1999.04.17	Poland	1	6	World Championship B	Denmark	1402	1572	26	23
1936.02.11	Germany	1	2	Olympic Games & World Championship	Germany	1818	1992	9	7
1982.01.20	France	6	7		France	1410	1332	18	21
2014.04.26	Japan	4	4	World Championship Division IA	South Korea	1728	1794	22	19
1935.01.25	Poland	1	1	World Championship	Switzerland	1790	1829	10	9
2004.04.15	Norway	4	6	World Championship Division I	Norway	1688	1957	21	13
2010.04.11	Norway	2	1	Budapest Tournament	Hungary	1768	1869	20	16
2000.03.22	South Korea	9	2	World Championship C	China	1373	1053	26	31
2004.04.16	Belarus	1	7	World Championship Division I	Norway	1681	2113	21	10
1983.03.14	North Korea	14	1	World Championship C	Hungary	1466	944	19	23
1984.01.17	France	8	3	Magyar Nemzet Cup	Hungary	1403	1380	20	21
1941.02.23	Switzerland	2	4	International Week of Winter Sports	Germany	1814	2153	11	4
1979.02.03	Yugoslavia	6	1	Magyar Nemzet Cup	Hungary	1576	1522	14	15
2008.11.07	Serbia	9	1	Olympic Games qualifier	Hungary	1844	1057	17	34
2006.04.30	Japan	3	6	World Championship Division I	France	1654	1689	22	21
2009.11.06	Italy	6	1	Budapest Tournament	Hungary	1779	1839	20	18
2004.09.05	Denmark	1	3	Szekesfehervar Tournament	Hungary	1666	1942	21	14
1936.02.21	Japan	3	0		Germany	1801	1561	10	16
2011.04.23	Italy	3	4	World Championship Division I	Hungary	1767	1909	20	17
2019.11.09	Japan	3	2	Euro Ice Hockey Challenge	Poland	1708	1525	21	24
1994.03.14	Ukraine	0	10		Hungary	1158	1978	30	13
1985.03.13	Poland	0	14		Poland	1397	1904	20	9
1977.02.22	Romania	4	5	Budapest Tournament	Hungary	1479	1790	17	10
2002.04.20	Denmark	2	6	World Championship Division I	Hungary	1652	1924	22	15
1989.03.22	Yugoslavia	0	3	World Championship C	Australia	1269	1630	21	15
1981.03.06	Great Britain	8	0	World Championship C	China	1416	944	19	24
1990.04.05	North Korea	2	4	World Championship C	Hungary	1164	1182	24	23
1981.03.13	Denmark	2	2	World Championship C	China	1393	1355	18	20
2008.11.08	Croatia	6	1	Olympic Games qualifier	Hungary	1845	1205	17	28
1994.03.22	Bulgaria	7	2	World Championship C	Slovakia	1198	1126	28	31
1986.03.24	Australia	11	3	World Championship C	Spain	1267	872	21	27
1981.11.25	Yugoslavia	2	3		Yugoslavia	1412	1477	18	17
1994.03.21	Ukraine	0	8	World Championship C	Slovakia	1153	1948	30	14
1976.12.08	France	4	3		Hungary	1486	1270	17	20
2004.11.14	Norway	3	3	Olympic Games qualifier	Norway	1689	1893	21	17
2013.11.10	Ukraine	0	1	Euro Ice Hockey Challenge	Hungary	1762	1773	20	19
2006.02.11	Croatia	6	3	Budapest Tournament	Hungary	1647	1206	21	29
2012.04.07	Poland	4	2		Hungary	1650	1697	23	22
2002.09.01	Great Britain	6	3	Nottingham Tournament	Great Britain	1677	1742	22	20
1964.01.30	Italy	4	6	Olympic Games B & World Champ B	Austria	1619	1765	16	12
2003.04.01	Norway	0	3		Hungary	1661	1814	22	18
1984.01.18	Denmark	4	3	Magyar Nemzet Cup	Hungary	1414	1402	18	20
1937.02.27	Czechoslovakia	0	0	World Championship	Great Britain	1819	2020	11	5
1936.02.08	Czechoslovakia	0	3	Olympic Games & World Championship	Germany	1829	2015	9	6
1999.11.14	Netherlands	2	5		the Netherlands	1387	1450	26	25
2008.04.04	Poland	0	1		Hungary	1721	1715	21	22
1986.12.28	Yugoslavia	5	3	Pondus Cup	Denmark	1297	1584	21	16
2017.11.12	Japan	3	3	Euro Ice Hockey Challenge	Hungary	1762	1636	20	24
2012.04.18	Slovenia	1	4	World Championship Division IA	Slovenia	1746	1994	19	14
1995.01.29	Romania	8	3	Szekesfehervar Tournament	Hungary	1232	1289	28	26
1967.03.18	Yugoslavia	6	6	World Championship B	Austria	1507	1586	17	15
1979.11.29	France	4	4		France	1451	1302	18	20
1982.03.23	Spain	8	1	World Championship C	Spain	1423	922	18	25
1938.02.14	Poland	0	3	World Championship	Czechoslovakia	1788	1935	11	8
1971.02.17	Switzerland	4	7		Hungary	1529	1673	17	12
2018.12.15	Belarus	1	8	Euro Ice Hockey Challenge	Norway	1771	1980	20	15
1978.02.26	France	5	3		France	1532	1233	15	21
2005.02.13	Germany	3	4	Budapest Tournament	Hungary	1683	2056	21	11
2005.11.18	Romania	10	1	Janow Tournament	Poland	1662	1289	21	27
2012.11.09	Lithuania	5	1	Olympic Games qualifier	Hungary	1701	1296	21	28
1982.01.19	France	2	11		France	1420	1322	18	21
1982.11.18	Yugoslavia	5	5		Yugoslavia	1423	1543	19	17
1941.02.21	Germany	0	0	International Week of Winter Sports	Germany	1826	1987	11	7
1985.01.09	France	3	8	Magyar Nemzet Cup	Hungary	1391	1435	20	18
1976.01.17	Romania	1	8		Romania	1458	1709	18	12
1979.02.02	Romania	3	5	Magyar Nemzet Cup	Hungary	1559	1797	14	11
2005.04.22	Great Britain	0	3	World Championship Division I	Hungary	1640	1580	21	23
2002.04.19	Romania	4	1	World Championship Division I	Hungary	1679	1352	22	26
1980.12.14	Yugoslavia	4	6		Yugoslavia	1459	1533	18	16
1973.12.29	Bulgaria	5	2	Pondus Cup	Denmark	1527	1319	16	21
1985.01.08	Denmark	6	3	Magyar Nemzet Cup	Hungary	1425	1335	17	21
1980.12.28	Yugoslavia	1	7	Pondus Cup	Denmark	1420	1527	19	16
1991.03.25	South Korea	9	4	World Championship C	Denmark	1219	943	22	27
1967.12.01	Bulgaria	1	2	Ljubljana Tournament	Yugoslavia	1436	1321	18	20
2004.02.06	Ukraine	0	0	Minsk Tournament	Belarus	1658	1985	21	13
1953.04.06	East Germany	2	14		East Germany	1728	1563	12	15
2015.04.22	Italy	4	1	World Championship Division IA	Poland	1815	1776	18	19
1980.03.11	Denmark	5	5	Thayer Tutt Trophy	Yugoslavia	1432	1407	18	19
1928.02.11	France	0	2	Olympic Games & World Championship	Switzerland	1596	1957	13	5
2010.12.17	Austria	2	3	Euro Ice Hockey Challenge	Slovenia	1766	2060	20	13
1972.03.12	China	3	3	World Championship C	Romania	1457	1379	18	20
2003.02.07	Belarus	4	4	Minsk Tournament	Belarus	1686	2140	22	9
2006.12.15	Italy	1	4	Bled Tournament	Slovenia	1668	1782	22	19
1983.03.01	Austria	0	8		Austria	1446	1695	19	13
1934.02.05	Czechoslovakia	0	1	World Championship	Italy	1762	1968	11	6
1995.03.24	China	3	4	World Championship C	Bulgaria	1248	1167	27	29
1970.02.10	Denmark	9	0		Hungary	1557	1200	15	22
1980.12.29	Austria	1	16	Pondus Cup	Denmark	1388	1524	19	16
1991.12.06	Romania	2	2	Sofia Tournament	Bulgaria	1173	1399	24	21
1966.02.28	Denmark	6	4		Hungary	1590	1234	15	22
1980.02.04	Denmark	3	7	Pondus Cup	Denmark	1447	1434	18	19
1975.02.15	Romania	5	6		Hungary	1484	1729	16	13
1999.03.26	Romania	7	6		Hungary	1503	1464	24	25
1983.10.29	Yugoslavia	4	6		Yugoslavia	1400	1449	20	18
1978.03.26	Italy	5	2	World Championship B	Yugoslavia	1582	1528	14	16
1942.02.22	Germany	1	3		Germany	1809	1968	11	7
2017.04.24	Austria	1	3	World Championship Division IA	Ukraine	1863	1915	18	17
1993.02.06	Slovenia	1	2	Szekesfehervar Tournament	Hungary	1078	1745	31	19
2013.04.15	South Korea	4	4	World Championship Division IA	Hungary	1760	1507	19	24
1969.02.24	Switzerland	1	11	World Championship C	Yugoslavia	1422	1678	18	14
1936.02.20	Poland	1	1		Germany	1795	1825	10	9
1927.01.29	Poland	1	6	European Championship	Austria	1606	1896	12	8
1962.01.17	Bulgaria	5	4		Bulgaria	1626	1389	14	19
1958.03.02	Yugoslavia	6	2		Hungary	1746	1320	12	21
1996.03.31	China	8	2	World Championship C	Slovenia	1363	1120	26	30
2007.12.14	Ukraine	2	1	Euro Ice Hockey Challenge	Hungary	1738	1863	21	16
2003.11.09	Belarus	3	6	Budapest Tournament	Hungary	1647	2085	21	11
1992.01.24	Bulgaria	1	0		Hungary	1177	1237	24	23
1997.03.23	Lithuania	5	0	World Championship C	Estonia	1494	1311	24	27
2018.11.10	Italy	7	1	Euro Ice Hockey Challenge	Hungary	1800	1796	18	19
1935.01.20	Switzerland	1	1	World Championship	Switzerland	1777	2043	11	4
1987.01.24	Yugoslavia	3	3	Magyar Nemzet Cup	Hungary	1299	1523	21	17
2000.02.13	Netherlands	1	5	Olympic Games qualifier	Denmark	1346	1462	26	24
2019.04.30	Belarus	1	3	World Championship Division IA	Kazakhstan	1725	2013	21	15
1973.03.15	Norway	0	6	World Championship C	the Netherlands	1505	1726	17	11
1994.03.10	Slovakia	1	15		Slovakia	1159	2217	30	8
1998.03.23	Spain	6	1	World Championship C	Hungary	1442	1021	25	33
2002.12.13	Ukraine	0	3	Euro Ice Hockey Challenge	Ukraine	1647	2049	22	12
1988.03.24	Yugoslavia	2	5	Thayer Tutt Trophy	the Netherlands	1252	1526	21	17
1993.03.15	Spain	6	5	World Championship C	Slovenia	1142	1027	30	33
2017.11.10	Poland	1	4	Euro Ice Hockey Challenge	Hungary	1760	1801	20	19
1993.02.05	Romania	3	4	Szekesfehervar Tournament	Hungary	1079	1389	31	24
2019.04.12	Poland	4	2		Hungary	1752	1679	20	22
1987.03.20	Yugoslavia	2	6	World Championship C	Denmark	1267	1568	21	16
1999.04.02	Poland	3	4		Poland	1495	1646	24	21
1981.03.09	North Korea	10	3	World Championship C	China	1388	947	19	23
2010.04.23	Slovenia	1	4	World Championship Division I	Slovenia	1799	1896	20	15
2005.04.18	Japan	3	0	World Championship Division I	Hungary	1699	1618	21	22
2017.04.22	Ukraine	5	3	World Championship Division IA	Ukraine	1897	1685	17	22
2016.11.05	Denmark	3	1	Euro Ice Hockey Challenge	Hungary	1906	2035	17	14
1966.03.04	Austria	2	7	World Championship B	Yugoslavia	1513	1591	17	15
2019.12.12	Japan	1	2	Euro Ice Hockey Challenge	Hungary	1718	1584	21	23
2012.11.11	Netherlands	6	6	Olympic Games qualifier	Hungary	1689	1477	22	25
1985.11.26	Yugoslavia	0	4		Yugoslavia	1331	1509	20	17
1941.02.22	Germany	1	3	International Week of Winter Sports	Germany	1819	1994	11	7
2006.11.10	Slovenia	7	1	Budapest Tournament	Hungary	1688	1814	21	17
2007.04.21	Japan	3	3	World Championship Division I	Slovenia	1720	1724	22	21
1999.04.08	Germany	2	5	World Championship B	Denmark	1485	2003	25	14
1959.03.10	Romania	2	7	World Championship C	Czechoslovakia	1694	1624	13	15
1989.01.28	Yugoslavia	4	2	Magyar Nemzet Cup	Hungary	1263	1592	21	17
1969.02.26	Bulgaria	5	3	World Championship C	Yugoslavia	1450	1348	17	19
1973.03.12	France	7	1	World Championship C	the Netherlands	1507	1461	17	18
2021.08.29	Italy	2	1	Olympic Games qualifier	Latvia	1762	1703	20	21
2012.04.15	Japan	5	1	World Championship Division IA	Slovenia	1716	1729	21	20
1969.02.27	Japan	3	6	World Championship C	Yugoslavia	1436	1713	18	13
1975.02.16	Romania	3	6		Hungary	1475	1738	17	12
2006.04.11	Poland	1	0		Poland	1657	1767	21	19
2001.04.19	France	3	1	World Championship Division I	France	1534	1911	24	16
1939.02.10	Poland	0	3	World Championship	Switzerland	1761	1928	12	8
1978.02.27	France	5	4		France	1537	1228	15	21
1982.02.05	Spain	8	2	Magyar Nemzet Cup	Hungary	1412	897	18	26
1983.03.19	Bulgaria	7	2	World Championship C	Hungary	1382	1136	20	22
2003.09.07	Poland	1	1	Claut Tournament	Italy	1626	1844	22	17
1987.03.28	Romania	2	4	World Championship C	Denmark	1239	1469	21	20
2011.11.12	Italy	2	3	Euro Ice Hockey Challenge	Hungary	1729	1936	21	16
1993.03.18	Australia	7	3	World Championship C	Slovenia	1159	919	31	34
1979.02.04	Denmark	2	7	Magyar Nemzet Cup	Hungary	1534	1447	14	19
2000.03.25	China	3	2	World Championship C	China	1399	1263	26	27
1996.01.28	Croatia	6	0	Olympic Games qualifier	Hungary	1273	1080	27	31
1992.03.21	North Korea	1	4	World Championship C1	Great Britain	1131	1092	26	27
2005.04.20	China	9	0	World Championship Division I	Hungary	1703	1243	21	28
1970.12.28	Denmark	8	1	Pondus Cup	Denmark	1536	1170	16	22
2016.05.10	France	2	6	World Championship	Russia	1819	1981	19	16
1977.03.19	Yugoslavia	3	1	World Championship B	Japan	1561	1572	15	14
1971.03.05	Netherlands	4	3	World Championship C	the Netherlands	1525	1115	17	22
1972.12.29	Denmark	8	4	Pondus Cup	Denmark	1488	1082	18	23
2014.02.08	Italy	2	4	Euro Ice Hockey Challenge	Poland	1765	1921	20	18
1977.12.28	Austria	3	3		Hungary	1526	1455	16	18
1973.03.13	China	9	6	World Championship C	the Netherlands	1529	1334	16	19
1977.03.16	Norway	2	8	World Championship B	Japan	1526	1793	15	12
1990.04.06	Yugoslavia	1	8	World Championship C	Hungary	1154	1652	24	15
2011.04.12	Ukraine	2	3		Hungary	1788	1832	20	18
2021.08.21	Austria	5	7		Austria	1764	1964	20	15
1971.12.28	Denmark	4	1	Pondus Cup	Denmark	1561	1168	15	21
1965.02.27	Denmark	6	2		Denmark	1534	1228	17	22
2004.02.07	Belarus	1	5	Minsk Tournament	Belarus	1656	2124	21	10
1983.01.22	Croatia	7	0	Magyar Nemzet Cup	Hungary	1451	1071	19	32
1974.03.08	Australia	11	2	World Championship C	France	1527	1010	16	24
2014.04.21	Ukraine	0	3	World Championship Division IA	South Korea	1744	1798	22	19
1990.12.15	Romania	4	5	Sofia Tournament	Bulgaria	1164	1393	22	20
2011.11.11	Japan	3	5	Euro Ice Hockey Challenge	Hungary	1740	1761	21	20
1985.12.09	Bulgaria	9	3	Otechestven Front Cup	Bulgaria	1339	1067	20	22
2002.12.15	Great Britain	5	2	Euro Ice Hockey Challenge	Ukraine	1672	1701	22	21
1988.03.20	Romania	3	5	Thayer Tutt Trophy	the Netherlands	1270	1497	21	17
1937.02.17	Romania	4	1	World Championship	Great Britain	1816	1555	10	16
1967.11.30	Austria	2	6	Ljubljana Tournament	Yugoslavia	1457	1550	17	16
1981.03.15	Bulgaria	6	1	World Championship C	China	1418	1218	18	22
1987.03.23	North Korea	9	3	World Championship C	Denmark	1265	864	21	27
1984.12.28	Bulgaria	4	2		Hungary	1396	1105	19	22
2016.02.14	Poland	0	0	Olympic Games qualifier	Hungary	1847	1776	18	20
2001.04.05	Slovenia	2	2		Slovenia	1489	1597	24	23
1990.04.08	Denmark	2	4	World Championship C	Hungary	1135	1430	23	18
2010.12.18	Norway	2	1	Euro Ice Hockey Challenge	Slovenia	1789	1952	20	14
1991.03.29	Great Britain	3	3	World Championship C	Denmark	1168	1102	22	24
2016.04.29	Kazakhstan	2	3	 tournament	Hungary	1856	2059	18	14
1992.10.20	South Africa	6	1		South Africa	1069	871	31	33
2000.11.12	Poland	5	3	Millennium Tournament	Hungary	1486	1713	24	20
1948.01.18	Switzerland	2	13		Switzerland	1788	2136	10	5
2001.03.29	Croatia	9	0		Hungary	1489	1107	24	30
1971.03.04	Belgium	31	1	World Championship C	the Netherlands	1517	828	18	26
1978.03.25	Switzerland	5	12	World Championship B	Yugoslavia	1542	1821	16	11
1987.03.26	Belgium	9	4	World Championship C	Denmark	1255	671	21	31
1985.12.27	Denmark	3	2	Pondus Cup	Denmark	1357	1280	20	21
2012.11.10	Croatia	13	0	Olympic Games qualifier	Hungary	1704	1219	21	29
2011.04.18	South Korea	6	3	World Championship Division I	Hungary	1792	1301	19	28
1980.03.08	Switzerland	3	9	Thayer Tutt Trophy	Yugoslavia	1437	1774	18	12
1946.12.29	Austria	3	11		Hungary	1800	1875	10	9
2005.02.12	Slovakia	2	4	Budapest Tournament	Hungary	1688	2383	21	7
1992.01.26	Romania	2	5		Hungary	1167	1410	25	20
1991.01.27	Denmark	4	2	Magyar Nemzet Cup	Hungary	1192	1402	22	19
2003.12.18	Italy	1	1	Maribor Tournament	Slovenia	1648	1666	21	20
2008.04.14	Lithuania	6	0	World Championship Division I	Japan	1752	1495	21	24
2010.12.16	Slovenia	0	2	Euro Ice Hockey Challenge	Slovenia	1771	1894	20	15
2009.04.06	Norway	3	3		Hungary	1814	1911	18	13
1967.03.28	Switzerland	3	7	World Championship B	Austria	1453	1603	17	15
2014.04.23	Slovenia	0	2	World Championship Division IA	South Korea	1733	2029	22	13
2015.04.23	Ukraine	4	2	World Championship Division IA	Poland	1837	1681	18	22
2006.04.08	Germany	0	1		Hungary	1641	2024	21	11
2000.11.10	Netherlands	6	2	Millennium Tournament	Hungary	1436	1417	24	25
1990.01.27	Denmark	4	1	Magyar Nemzet Cup	Hungary	1276	1293	21	20
1929.01.31	Austria	0	3	European Championship	Hungary	1553	1973	14	5
1989.10.22	Yugoslavia	2	3		Yugoslavia	1266	1613	21	17
1988.03.23	East Germany	1	7	Thayer Tutt Trophy	the Netherlands	1263	1850	21	10
